entity_id,name,formed,entity_type,status,jurisdiction,street,street_2,city,state,zip,agent_organization,agent_city
20268142411,Denver Death Pile Ltd.,2026-09-13,DLLC,Good Standing,CO,1660 S Albion St Ste 336,,Denver,CO,80222,,Denver
20268142420,Talitha & Daysi Florals LLC,2026-09-13,DLLC,Good Standing,CO,1401 Grape St,,Denver,CO,80220,Northwest Registered Agent LLC,Denver
20268142423,Divine Power Properties LLC,2026-09-13,DLLC,Good Standing,CO,5464 E 113th Ave,,Thornton,CO,80233,Northwest Registered Agent LLC,Denver
20268142430,Duran Venture Consulting LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St,Ste N,Denver,CO,80203,Northwest Registered Agent LLC,Denver
20268142479,Edith & Linneth Home Care Services LLC,2026-09-13,DLLC,Good Standing,CO,17723 E Oakwood Pl,,Aurora,CO,80016,,Aurora
20268142507,Wasp Enterprises LLC,2026-09-13,DLLC,Good Standing,CO,9276 Grand Cordera Parkway,#1-415,Colorado Springs,CO,80924,,Colorado Springs
20268142525,NorthStar Law PLLC,2026-09-13,DLLC,Good Standing,CO,1973 S Poplar Ct,,Denver,CO,80224,,Denver
20268142527,Double D General Services LLC,2026-09-13,DLLC,Good Standing,CO,6409 Barrel Race Dr,,Colorado Springs,CO,80923,,Colorado Springs
20268142530,BINOCERATOPS LLC,2026-09-13,DLLC,Good Standing,CO,20340 E Powers Pl,,Centennial,CO,80015,,Centennial
20268142543,Switchback Rally LLC,2026-09-13,DLLC,Good Standing,CO,6635 W Mississippi Pl,,Lakewood,CO,80232,,Lakewood
20268142554,"Boulder Bills Backers, Inc.",2026-09-13,DNC,Good Standing,CO,515 Apex Rise St,,Erie,CO,80516,,Erie
20268142556,Thrive Within Counseling LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268142559,Tara Wisecup Photography LLC,2026-09-13,DLLC,Good Standing,CO,3313 Bark Tree Trail,,Colorado Springs,CO,80921,,Colorado Springs
20268142562,Play-Out LLC,2026-09-13,DLLC,Good Standing,CO,6103 Marshall St,,Arvada,CO,80003,,Arvada
20268142581,"Front Range Bio Research, LLC",2026-09-13,DLLC,Good Standing,CO,5255 S Danube St,,Centennial,CO,80015,,Centennial
20268142592,Starlight Digital LLC,2026-09-13,DLLC,Good Standing,CO,1580 N Logan St Ste 660 #596232,,Denver,CO,80203,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268142603,retro auto part LLC,2026-09-13,DLLC,Good Standing,CO,1021 Main Ave,,Durango,CO,81301,Northwest Registered Agent LLC,Denver
20268142625,"214 BAYSIDE, LLC",2026-09-13,DLLC,Good Standing,CO,5137 S. Perry St.,,Littleton,CO,80123,,Littleton
20268142644,Southmoor Digital LLC,2026-09-13,DLLC,Good Standing,CO,1500 N Grant St Ste R,,Denver,CO,80203,Registered Agents Inc,Denver
20268142648,"Benashoppe, LLC",2026-09-13,DLLC,Good Standing,CO,4830 Stillwell Drive,,Colorado Springs,CO,80920,,Colorado Springs
20268142664,Sage Spring Ranch LLC,2026-09-13,DLLC,Good Standing,CO,49 Idlewild Pl,Unit B,Edwards,CO,81632,,Edwards
20268142666,KHM Trucking LLC,2026-09-13,DLLC,Good Standing,CO,20618 State Highway 69,,Gardner,CO,81040,"UNITED STATES CORPORATION AGENTS, INC.",Greenwood Village
20268142672,Core Horizon Property Holdings LLC,2026-09-13,DLLC,Good Standing,CO,146 County Road 35,,Craig,CO,81625,,Craig
20268142678,Worldthread Games LLC,2026-09-13,DLLC,Good Standing,CO,9735 W Cornell Pl,,Lakewood,CO,80227,,Lakewood
20268142683,AA Squad LLC,2026-09-13,DLLC,Good Standing,CO,713 Muturu Rd,,Johnstown,CO,80534,,Johnstown
