usdot,legal_name,dba_name,registered,status,operation,class,street,city,state,zip,phone,email,power_units,drivers,entity_type,mcs150_date
6074266,BAPTIST GRAPHIC DESIGN,NEXT CHAPTER CDL TRAINING,2026-09-20,A,C,"PRIVATE PROPERTY;PRIVATE PASSENGER, BUSINESS;PRIVATE PASSENGER, NON-BUSINESS",1700 RHEM AVENUE,NEW BERN,NC,28560,***-***-**53,I***@NEXTCHAPTERCDLTRAINING.COM,1,4,,
9909707,AV TRANSPORTATION LLC,,2026-09-19,A,A,AUTHORIZED FOR HIRE,1802 BATTISTA ST,EDINBURG,TX,78542,***-***-**08,T***@GMAIL.COM,1,1,,
9901506,GAONA LOGISTICS LLC,,2026-09-19,A,A,AUTHORIZED FOR HIRE,14344 MCART RD. APT 233,VICTORVILLE,CA,92392,***-***-**70,M***@GMAIL.COM,2,1,,
9896446,COLLISON HERO INC,,2026-09-19,A,C,AUTHORIZED FOR HIRE,220 N MCARTHUR WAY,UPLAND,CA,91786,***-***-**40,C***@GMAIL.COM,1,1,,
9891484,RETOUR INC,,2026-09-19,A,A,AUTHORIZED FOR HIRE,3478 LAKESIDE DRIVE NORTHEAST,ATLANTA,GA,30326,***-***-**94,L***@RETOURR.COM,1,4,,
9887907,"RUV & SONS TRANSPORT, LLC.",,2026-09-19,A,C,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,6425 GREEN GARDEN DR.,BAKERSFIELD,CA,93313,***-***-**63,R***@GMAIL.COM,5,2,,
9691690,JAC TRANSPORT & LOGISTICS LLC,,2026-09-19,A,A,AUTHORIZED FOR HIRE,650 SOUTH PALM ST,WASHINGTON,PA,15301,***-***-**10,J***@YAHOO.COM,1,4,,
9621768,LIL TRUCKING LLC,,2026-09-19,A,C,AUTHORIZED FOR HIRE,9129 ROAD 33 1/2,MADERA,CA,93636,***-***-**47,L***@GMAIL.COM,2,2,,
9593252,MAKING IT HAPPEN EXPRESS LLC,,2026-09-19,A,C,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,3400 COTTAGE WAY #G2,SACRAMENTO,CA,95825,***-***-**44,M***@MAKINGITHAPPENEXPRESS.COM,2,4,,
9474794,ECOCICLE PICKUP LLC,,2026-09-19,A,A,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,172 PEQUONNOCK ST 1FL,BRIDGEPORT,CT,06604,***-***-**81,D***@GMAIL.COM,2,1,,
9444527,JOE'S MOVING AND TRANSPORTATION,,2026-09-19,A,C,AUTHORIZED FOR HIRE,32339 TETON LANE,WINCHESTER,CA,92596,***-***-**92,J***@GMAIL.COM,1,4,,
9431924,M & L TOWING LLC,,2026-09-19,A,C,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,1815 DILLINGHAM BLVD,HONOLULU,HI,96819,***-***-**90,M***@GMAIL.COM,1,4,,
9421507,JALLEN HOTSHOTTING LLC,,2026-09-19,P,A,PRIVATE PROPERTY;STATE GOVERNMENT;AUTHORIZED FOR HIRE,235 COUNTY ROAD 3490,CLARKSVILLE,AR,72830,***-***-**18,J***@GMAIL.COM,3,4,,
9382246,PAWAN LOGISTICS,,2026-09-19,A,A,AUTHORIZED FOR HIRE,149 GREGORY ST 9,AURORA,IL,60504,***-***-**26,P***@GMAIL.COM,1,4,,
9375462,ITSATOUGHWORLD,J&J HAULING RECOVERY,2026-09-19,A,C,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,2500 W INTERNATIONAL SPEEDWAY BLVD STE 900,DAYTONA BEACH,FL,32114,***-***-**32,J***@JJHAULINGFL.COM,3,2,,
9345405,STANISLAV MYASKOVSKIY,STAR EXPRESS,2026-09-19,I,A,AUTHORIZED FOR HIRE,862 CHURCHVILLE RD,SOUTHAMPTON,PA,18966,***-***-**49,S***@VERIZON.NET,3,3,,
9341376,FLASHPOINT DELIVERY SERVICES LLC,,2026-09-19,A,C,AUTHORIZED FOR HIRE,104 E PINE AVE,WEST LAFAYETTE,IN,47906,***-***-**35,J***@GMAIL.COM,2,4,,
9294518,QUICKFIX PROS LLC,,2026-09-19,A,C,AUTHORIZED FOR HIRE,12348 W MADISON ST,AVONDALE,AZ,85323,***-***-**15,Q***@GMAIL.COM,1,1,,
9254344,"S&W LOGISTICAL, LLC",,2026-09-19,A,A,AUTHORIZED FOR HIRE,1214 E MAIN ST,FULTON,MS,38843-8382,***-***-**61,W***@SWLOGISTICAL.COM,1,1,,
