dos_id,name,filed,entity_type,county,jurisdiction,process_name,process_address,process_address_2,process_city,process_state,process_zip
8018869,DYNAMIC RISK MANAGEMENT GROUP LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,Dynamic Risk Management Group LLC,2 Nicholas Street,,Brooklyn,NY,11237
8018870,AFTER THE TRAIN LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,Entity Protect Registered Agent Services LLC,447 Broadway 2nd Fl. - #3000,,New York,NY,10013
8018871,DOCKTIVITY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Orange,New York,Anthony LiPani,8 Hill Street,,Port Jervis,NY,12771
8018872,"BASECAMP OPERATIONS, INC.",2026-09-11,DOMESTIC BUSINESS CORPORATION,Nassau,New York,Oriel Dominguez,175 Fulton Ave Ste 505,,Hempstead,NY,11550
8018873,NATIONAL SURPLUS CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Suffolk,New York,REGISTERED AGENTS INC.,418 BROADWAY,STE R,ALBANY,NY,12207
8018874,"SLATH, INC.",2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,Tanmoy Shargo,236 Stagg St Ground Floor,,Brooklyn,NY,11206
8018875,KISKEYA ONE AIRWAYS CORP.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Suffolk,New York,New York Registered Agent LLC,418 Broadway Ste R,,Albany,NY,12207
8018876,CHAUDRY VENTURES LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,Abdul Chaudry,477 Roquette Ave,,South Floral Park,NY,11001
8018877,MADA TURNKEY LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Queens,New York,Mada Turnkey LLC,6109 69th place,,Middle village,NY,11379
8018878,MASHBAK INC.,2026-09-11,DOMESTIC BUSINESS CORPORATION,Kings,New York,MASHBAK INC.,1464 EAST 23rd street,,BROOKLYN,NY,11210
8018879,VESTHEIR LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Nassau,New York,Link A. Alexis,15 Greenlawn court,,Hempstead,NY,11550
8018880,ALEXIA ACCENTS LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Kings,New York,Alexia Accents LLC,1637 east 17th street,"2nd Floor, c/o Creators photo",Brooklyn,NY,11229
8018881,JACOBS ADAPTIVE TRAINING LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Madison,New York,Entity Protect Registered Agent Services LLC,447 Broadway 2nd Fl. - #3000,,New York,NY,10013
8018882,LIGHTS OUT SPORTS 365 LLC,2026-09-11,DOMESTIC LIMITED LIABILITY COMPANY,Bronx,New York,Christopher Lopez,2200 Powell Ave,APT #D33,Bronx,NY,10462
